-14.3511456883975636600326	89728.084151	89729.693589	0.000000	1.000000
-13.6044388846024393302514	93260.916078	93262.525516	0.673000	1.000000
-13.6007706140196340527382	93262.191278	93263.800716	0.673000	1.000000
-13.5540927130959953927913	93275.516187	93277.125625	0.673000	1.000000
-13.4397618294131770966260	93290.301857	93291.911295	0.673000	1.000000
-13.4229719972975622965805	93290.851368	93292.460806	0.673000	1.000000
-13.4150862308263807420872	93290.994629	93292.604067	0.673000	1.000000
-13.4197985536645720827664	93290.917577	93292.527015	0.673000	1.000000
-13.4024733469589580892034	93291.079682	93292.689120	0.673000	1.000000
-13.3998241003622755584956	93291.075800	93292.685238	0.673000	1.000000
-13.4245407464725836632624	93290.814319	93292.423757	0.673000	1.000000
-13.3640960646481588014467	93290.340977	93291.950415	0.673000	1.000000
-13.3875100568289120417376	93290.962759	93292.572197	0.673000	1.000000
-13.3848333882010077644509	93290.918052	93292.527490	0.673000	1.000000
-13.4331194849950055214549	93290.560137	93292.169575	0.673000	1.000000
-13.3853118571457745389353	93290.926560	93292.535998	0.673000	1.000000
-13.3880004338309976930077	93290.970185	93292.579623	0.673000	1.000000
-13.3706832467260365859829	93290.567442	93292.176880	0.673000	1.000000
-13.3860565949838932198190	93290.939356	93292.548794	0.673000	1.000000
-13.4214728159080820546478	93290.884096	93292.493534	0.673000	1.000000
-13.3975775826584442285139	93291.066751	93292.676189	0.673000	1.000000
-13.3774059051878921877687	93290.757609	93292.367047	0.673000	1.000000
-13.3656577054740246524034	93290.398194	93292.007632	0.673000	1.000000
-13.3358454267995121256263	93288.946832	93290.556270	0.673000	1.000000
-13.3953546084813215344411	93291.052651	93292.662089	0.673000	1.000000
-13.3939681900533322789215	93291.041289	93292.650727	0.673000	1.000000
-13.4509245142278270890301	93289.741975	93291.351413	0.673000	1.000000
-13.4492515416395175265052	93289.836188	93291.445626	0.673000	1.000000
-13.4003806862071392913549	93291.077228	93292.686666	0.673000	1.000000
-13.4205019195962655942367	93290.903904	93292.513342	0.673000	1.000000
-13.4013273312762670741449	93291.078910	93292.688348	0.673000	1.000000
-13.3852244152680199817951	93290.925022	93292.534460	0.673000	1.000000
-13.3320147006599416528161	93288.708025	93290.317463	0.673000	1.000000
-13.3619679309363110775166	93290.259522	93291.868960	0.673000	1.000000
-13.3743504106629576000387	93290.676386	93292.285824	0.673000	1.000000
-13.4059373278739002444127	93291.073528	93292.682966	0.673000	1.000000
-13.3897698016881054883243	93290.994991	93292.604429	0.673000	1.000000
-13.3464653939489199530044	93289.548422	93291.157860	0.673000	1.000000
-13.4411402491583853446855	93290.241364	93291.850802	0.673000	1.000000
-13.4376075281802407346277	93290.391622	93292.001060	0.673000	1.000000
-13.4109180369118146103347	93291.041992	93292.651430	0.673000	1.000000
-13.4150070829909964231774	93290.995709	93292.605147	0.673000	1.000000
-13.3979138343726464910333	93291.068439	93292.677877	0.673000	1.000000
-13.4207227247399938363515	93290.899495	93292.508933	0.673000	1.000000
-13.4413889223260962779705	93290.230195	93291.839633	0.673000	1.000000
-13.4532390246604567352051	93289.605521	93291.214959	0.673000	1.000000
-13.4167304162325198291228	93290.970604	93292.580042	0.673000	1.000000
-13.3902141044289599847161	93291.000730	93292.610168	0.673000	1.000000
-13.4106977992390259402100	93291.043959	93292.653397	0.673000	1.000000
-13.4123257224424907718685	93291.028154	93292.637592	0.673000	1.000000
-13.3933929744160362673711	93291.035999	93292.645437	0.673000	1.000000
-13.4432937238571170723844	93290.142039	93291.751477	0.673000	1.000000
-13.4320200054528022803879	93290.597655	93292.207092	0.673000	1.000000
-13.4242287392634640497135	93290.821917	93292.431355	0.673000	1.000000
-13.3945422105012958979842	93291.046231	93292.655669	0.673000	1.000000
-13.3895736178773301361389	93290.992394	93292.601832	0.673000	1.000000
-13.3945281611683029154847	93291.046114	93292.655552	0.673000	1.000000
-13.3725224167034326683279	93290.623632	93292.233070	0.673000	1.000000
-13.4081498221897597034058	93291.062851	93292.672289	0.673000	1.000000
-13.4074282878585631095802	93291.066915	93292.676353	0.673000	1.000000
-13.3714915470413071574285	93290.592520	93292.201958	0.673000	1.000000
-13.3805961576123291223439	93290.833007	93292.442445	0.673000	1.000000
-13.3742121568142913190513	93290.672505	93292.281943	0.673000	1.000000
-13.3661868945784956252965	93290.417089	93292.026526	0.673000	1.000000
-13.3718073367308765142525	93290.602154	93292.211592	0.673000	1.000000
-13.3614053438313113986169	93290.237322	93291.846760	0.673000	1.000000
-13.4153205264764405768574	93290.991392	93292.600829	0.673000	1.000000
-13.3647521592863345318847	93290.365280	93291.974718	0.673000	1.000000
-13.4100287776096038783180	93291.049608	93292.659045	0.673000	1.000000
-13.4189803746296885123002	93290.932767	93292.542205	0.673000	1.000000
-13.3839646034726076351262	93290.902033	93292.511471	0.673000	1.000000
-13.3767408017088023086671	93290.740675	93292.350113	0.673000	1.000000
-13.4170940839718344506082	93290.964878	93292.574315	0.673000	1.000000
-13.3975722106999768357127	93291.066723	93292.676161	0.673000	1.000000
-13.4153594596142369255176	93290.990848	93292.600286	0.673000	1.000000
-13.4261243296152184001357	93290.773994	93292.383432	0.673000	1.000000
-13.3797088284646861211513	93290.813009	93292.422447	0.673000	1.000000
-13.3926615719090680300951	93291.028788	93292.638226	0.673000	1.000000
-13.4153055364843929453400	93290.991601	93292.601038	0.673000	1.000000
-13.4168802508076723256636	93290.968263	93292.577701	0.673000	1.000000
-13.4227043634178357933706	93290.857402	93292.466840	0.673000	1.000000
-13.5004550429677401268691	93285.144001	93286.753439	0.673000	1.000000
-13.4493599002181181134574	93289.830198	93291.439635	0.673000	1.000000
-13.4050256409635721865925	93291.076391	93292.685829	0.673000	1.000000
-13.3951026165895203945411	93291.050732	93292.660170	0.673000	1.000000
-13.3379300795671564827671	93289.071995	93290.681433	0.673000	1.000000
-13.4109843298817210666130	93291.041389	93292.650827	0.673000	1.000000
-13.3910888389263842412902	93291.011450	93292.620888	0.673000	1.000000
-13.4210322673110216129544	93290.893219	93292.502657	0.673000	1.000000
-13.4247107204512303724186	93290.810132	93292.419570	0.673000	1.000000
-13.3814751160850118338885	93290.852074	93292.461512	0.673000	1.000000
-13.4055996295921016070452	93291.074693	93292.684130	0.673000	1.000000
-13.4104175869527626474564	93291.046385	93292.655823	0.673000	1.000000
-13.3963863094004977938312	93291.059828	93292.669266	0.673000	1.000000
-13.4125415313107598791476	93291.025839	93292.635277	0.673000	1.000000
-13.3762494764002219937993	93290.727898	93292.337336	0.673000	1.000000
-13.3781685757133974590261	93290.776513	93292.385951	0.673000	1.000000
-13.3533308685450329278410	93289.888464	93291.497902	0.673000	1.000000
-13.3540908707293954904571	93289.923681	93291.533119	0.673000	1.000000
-13.3910792918480012758664	93291.011337	93292.620775	0.673000	1.000000
-13.3850332355679118023772	93290.921633	93292.531071	0.673000	1.000000
-13.4382605371854797482456	93290.365025	93291.974463	0.501000	1.000000
-13.4579530389714481231067	93289.305360	93290.914798	0.501000	1.000000
-13.3543996911747750999666	93289.937851	93291.547289	0.501000	1.000000
